mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
201924,24,6/9/2019,6/15/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,6/14/2025
201925,25,6/16/2019,6/22/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,6/21/2025
201926,26,6/23/2019,6/29/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,6/28/2025
201927,27,6/30/2019,7/6/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,7/5/2025
201928,28,7/7/2019,7/13/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,7/12/2025
201929,29,7/14/2019,7/20/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,7/19/2025
201930,30,7/21/2019,7/27/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/26/2025
201931,31,7/28/2019,8/3/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/2/2025
201932,32,8/4/2019,8/10/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/9/2025
201933,33,8/11/2019,8/17/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,8/16/2025
201934,34,8/18/2019,8/24/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/23/2025
201935,35,8/25/2019,8/31/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,8/30/2025
201936,36,9/1/2019,9/7/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/6/2025
201937,37,9/8/2019,9/14/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,9/13/2025
201938,38,9/15/2019,9/21/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,9/20/2025
201939,39,9/22/2019,9/28/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,9/27/2025
201940,40,9/29/2019,10/5/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,10/5/2024
201940,40,9/29/2019,10/5/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,10/5/2024
201941,41,10/6/2019,10/12/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,10/12/2024
201941,41,10/6/2019,10/12/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,10/12/2024
201942,42,10/13/2019,10/19/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,10/19/2024
201942,42,10/13/2019,10/19/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,10/19/2024
201943,43,10/20/2019,10/26/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.05,10/26/2024
201943,43,10/20/2019,10/26/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,10/26/2024
201944,44,10/27/2019,11/2/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.06,11/2/2024
201944,44,10/27/2019,11/2/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,11/2/2024
201945,45,11/3/2019,11/9/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,11/9/2024
201945,45,11/3/2019,11/9/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/9/2024
201946,46,11/10/2019,11/16/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,11/16/2024
201946,46,11/10/2019,11/16/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/16/2024
201947,47,11/17/2019,11/23/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/23/2024
201947,47,11/17/2019,11/23/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/23/2024
201948,48,11/24/2019,11/30/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,11/30/2024
201948,48,11/24/2019,11/30/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,11/30/2024
201949,49,12/1/2019,12/7/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,12/7/2024
201949,49,12/1/2019,12/7/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,12/7/2024
201950,50,12/8/2019,12/14/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.06,12/14/2024
201950,50,12/8/2019,12/14/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,12/14/2024
201951,51,12/15/2019,12/21/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.06,12/21/2024
201951,51,12/15/2019,12/21/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.15,12/21/2024
201952,52,12/22/2019,12/28/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.04,12/28/2024
201952,52,12/22/2019,12/28/2019,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,12/28/2024
202001,1,12/29/2019,1/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.06,1/4/2025
202001,1,12/29/2019,1/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.2,1/4/2025
202002,2,1/5/2020,1/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.04,1/11/2025
202002,2,1/5/2020,1/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.18,1/11/2025
202003,3,1/12/2020,1/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.04,1/18/2025
202003,3,1/12/2020,1/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.17,1/18/2025
202004,4,1/19/2020,1/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,1/25/2025
202004,4,1/19/2020,1/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.18,1/25/2025
202005,5,1/26/2020,2/1/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.05,2/1/2025
202005,5,1/26/2020,2/1/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.21,2/1/2025
202006,6,2/2/2020,2/8/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.04,2/8/2025
202006,6,2/2/2020,2/8/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.18,2/8/2025
202007,7,2/9/2020,2/15/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.05,2/15/2025
202007,7,2/9/2020,2/15/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.17,2/15/2025
202008,8,2/16/2020,2/22/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,2/22/2025
202008,8,2/16/2020,2/22/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,2/22/2025
202009,9,2/23/2020,2/29/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,3/1/2025
202009,9,2/23/2020,2/29/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.14,3/1/2025
202010,10,3/1/2020,3/7/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,3/8/2025
202010,10,3/1/2020,3/7/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.14,3/8/2025
202011,11,3/8/2020,3/14/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,3/15/2025
202011,11,3/8/2020,3/14/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,3/15/2025
202012,12,3/15/2020,3/21/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.02,3/22/2025
202012,12,3/15/2020,3/21/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.17,3/22/2025
202013,13,3/22/2020,3/28/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/29/2025
202013,13,3/22/2020,3/28/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,3/29/2025
202014,14,3/29/2020,4/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/5/2025
202014,14,3/29/2020,4/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/5/2025
202015,15,4/5/2020,4/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/12/2025
202015,15,4/5/2020,4/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,4/12/2025
202016,16,4/12/2020,4/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/19/2025
202016,16,4/12/2020,4/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,4/19/2025
202017,17,4/19/2020,4/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/26/2025
202017,17,4/19/2020,4/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,4/26/2025
202018,18,4/26/2020,5/2/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/3/2025
202018,18,4/26/2020,5/2/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,5/3/2025
202019,19,5/3/2020,5/9/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/10/2025
202019,19,5/3/2020,5/9/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/10/2025
202020,20,5/10/2020,5/16/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/17/2025
202020,20,5/10/2020,5/16/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,5/17/2025
202021,21,5/17/2020,5/23/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/24/2025
202021,21,5/17/2020,5/23/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,5/24/2025
202022,22,5/24/2020,5/30/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/31/2025
202022,22,5/24/2020,5/30/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,5/31/2025
202023,23,5/31/2020,6/6/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/7/2025
202023,23,5/31/2020,6/6/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,6/7/2025
202024,24,6/7/2020,6/13/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/14/2025
202024,24,6/7/2020,6/13/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,6/14/2025
202025,25,6/14/2020,6/20/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/21/2025
202025,25,6/14/2020,6/20/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,6/21/2025
202026,26,6/21/2020,6/27/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/28/2025
202026,26,6/21/2020,6/27/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,6/28/2025
202027,27,6/28/2020,7/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,7/5/2025
202027,27,6/28/2020,7/4/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,7/5/2025
202028,28,7/5/2020,7/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,7/12/2025
202028,28,7/5/2020,7/11/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,7/12/2025
202029,29,7/12/2020,7/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,7/19/2025
202029,29,7/12/2020,7/18/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,7/19/2025
202030,30,7/19/2020,7/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,7/26/2025
202030,30,7/19/2020,7/25/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,7/26/2025
202031,31,7/26/2020,8/1/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,8/2/2025
202031,31,7/26/2020,8/1/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,8/2/2025
202032,32,8/2/2020,8/8/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,8/9/2025
202032,32,8/2/2020,8/8/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,8/9/2025
202033,33,8/9/2020,8/15/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,8/16/2025
202033,33,8/9/2020,8/15/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,8/16/2025
202034,34,8/16/2020,8/22/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,8/23/2025
202034,34,8/16/2020,8/22/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,8/23/2025
202035,35,8/23/2020,8/29/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,8/30/2025
202035,35,8/23/2020,8/29/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/30/2025
202036,36,8/30/2020,9/5/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,9/6/2025
202036,36,8/30/2020,9/5/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,9/6/2025
202037,37,9/6/2020,9/12/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,9/13/2025
202037,37,9/6/2020,9/12/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,9/13/2025
202038,38,9/13/2020,9/19/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,9/20/2025
202038,38,9/13/2020,9/19/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,9/20/2025
202039,39,9/20/2020,9/26/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,9/27/2025
202039,39,9/20/2020,9/26/2020,2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,9/27/2025
202040,40,9/27/2020,10/3/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,10/5/2024
202040,40,9/27/2020,10/3/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,10/5/2024
202041,41,10/4/2020,10/10/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,10/12/2024
202041,41,10/4/2020,10/10/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,10/12/2024
202042,42,10/11/2020,10/17/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,10/19/2024
202042,42,10/11/2020,10/17/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,10/19/2024
202043,43,10/18/2020,10/24/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,10/26/2024
202043,43,10/18/2020,10/24/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,10/26/2024
202044,44,10/25/2020,10/31/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/2/2024
202044,44,10/25/2020,10/31/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,11/2/2024
202045,45,11/1/2020,11/7/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/9/2024
202045,45,11/1/2020,11/7/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,11/9/2024
202046,46,11/8/2020,11/14/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/16/2024
202046,46,11/8/2020,11/14/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,11/16/2024
202047,47,11/15/2020,11/21/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/23/2024
202047,47,11/15/2020,11/21/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,11/23/2024
202048,48,11/22/2020,11/28/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,11/30/2024
202048,48,11/22/2020,11/28/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,11/30/2024
202049,49,11/29/2020,12/5/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,12/7/2024
202049,49,11/29/2020,12/5/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,12/7/2024
202050,50,12/6/2020,12/12/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,12/14/2024
202050,50,12/6/2020,12/12/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,12/14/2024
202051,51,12/13/2020,12/19/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,12/21/2024
202051,51,12/13/2020,12/19/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,12/21/2024
202052,52,12/20/2020,12/26/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,12/28/2024
202052,52,12/20/2020,12/26/2020,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,12/28/2024
202101,1,1/3/2021,1/9/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,1/4/2025
202101,1,1/3/2021,1/9/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,1/4/2025
202102,2,1/10/2021,1/16/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,1/11/2025
202102,2,1/10/2021,1/16/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,1/11/2025
202103,3,1/17/2021,1/23/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,1/18/2025
202103,3,1/17/2021,1/23/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,1/18/2025
202104,4,1/24/2021,1/30/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,1/25/2025
202104,4,1/24/2021,1/30/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,1/25/2025
202105,5,1/31/2021,2/6/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,2/1/2025
202105,5,1/31/2021,2/6/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,2/1/2025
202106,6,2/7/2021,2/13/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,2/8/2025
202106,6,2/7/2021,2/13/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,2/8/2025
202107,7,2/14/2021,2/20/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,2/15/2025
202107,7,2/14/2021,2/20/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.01,2/15/2025
202108,8,2/21/2021,2/27/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,2/22/2025
202108,8,2/21/2021,2/27/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,2/22/2025
202109,9,2/28/2021,3/6/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/1/2025
202109,9,2/28/2021,3/6/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,3/1/2025
202110,10,3/7/2021,3/13/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/8/2025
202110,10,3/7/2021,3/13/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,3/8/2025
202111,11,3/14/2021,3/20/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/15/2025
202111,11,3/14/2021,3/20/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,3/15/2025
202112,12,3/21/2021,3/27/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/22/2025
202112,12,3/21/2021,3/27/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,3/22/2025
202113,13,3/28/2021,4/3/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,3/29/2025
202113,13,3/28/2021,4/3/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,3/29/2025
202114,14,4/4/2021,4/10/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/5/2025
202114,14,4/4/2021,4/10/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,4/5/2025
202115,15,4/11/2021,4/17/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/12/2025
202115,15,4/11/2021,4/17/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.02,4/12/2025
202116,16,4/18/2021,4/24/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/19/2025
202116,16,4/18/2021,4/24/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,4/19/2025
202117,17,4/25/2021,5/1/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,4/26/2025
202117,17,4/25/2021,5/1/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,4/26/2025
202118,18,5/2/2021,5/8/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/3/2025
202118,18,5/2/2021,5/8/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,5/3/2025
202119,19,5/9/2021,5/15/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/10/2025
202119,19,5/9/2021,5/15/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/10/2025
202120,20,5/16/2021,5/22/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/17/2025
202120,20,5/16/2021,5/22/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/17/2025
202121,21,5/23/2021,5/29/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0.01,5/24/2025
202121,21,5/23/2021,5/29/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/24/2025
202122,22,5/30/2021,6/5/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,5/31/2025
202122,22,5/30/2021,6/5/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/31/2025
202123,23,6/6/2021,6/12/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/7/2025
202123,23,6/6/2021,6/12/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,6/7/2025
202124,24,6/13/2021,6/19/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/14/2025
202124,24,6/13/2021,6/19/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,6/14/2025
202125,25,6/20/2021,6/26/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0,6/21/2025
202125,25,6/20/2021,6/26/2021,2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,6/21/2025
